,AP,ATE,ASE,AOE,CDS
ARTICULATED_BUS,0.096,0.913,0.201,0.159,0.073
BICYCLE,0.253,0.39,0.261,0.757,0.194
BICYCLIST,0.185,0.222,0.256,0.76,0.148
BOLLARD,0.31,0.204,0.476,0.817,0.223
BOX_TRUCK,0.204,0.558,0.22,0.115,0.167
BUS,0.227,0.517,0.181,0.212,0.189
CONSTRUCTION_BARREL,0.373,0.151,0.26,0.88,0.297
CONSTRUCTION_CONE,0.215,0.22,0.47,0.864,0.154
DOG,0.079,0.516,0.466,1.402,0.048
LARGE_VEHICLE,0.025,0.611,0.298,0.418,0.019
MESSAGE_BOARD_TRAILER,0.0,2.0,1.0,3.142,0.0
MOBILE_PEDESTRIAN_CROSSING_SIGN,0.141,0.099,0.47,1.172,0.099
MOTORCYCLE,0.28,0.297,0.254,0.872,0.217
MOTORCYCLIST,0.211,0.263,0.233,0.564,0.173
PEDESTRIAN,0.408,0.259,0.237,1.083,0.311
REGULAR_VEHICLE,0.471,0.317,0.156,0.202,0.412
SCHOOL_BUS,0.046,0.447,0.155,0.06,0.04
SIGN,0.087,0.37,0.448,0.737,0.062
STOP_SIGN,0.278,0.221,0.422,0.246,0.222
STROLLER,0.065,0.298,0.385,0.515,0.05
TRUCK,0.082,0.526,0.188,0.144,0.068
TRUCK_CAB,0.108,0.791,0.315,0.193,0.08
VEHICULAR_TRAILER,0.1,0.795,0.296,0.511,0.072
WHEELCHAIR,0.0,2.0,1.0,3.142,0.0
WHEELED_DEVICE,0.076,0.486,0.214,1.066,0.056
WHEELED_RIDER,0.031,0.309,0.337,0.953,0.023
AVERAGE_METRICS,0.167,0.53,0.354,0.807,0.131
